line,t1,t2,t3,n
108v.9.1,"P2,o,x,c^c,c,8,a,m","4,o,N,c,o,9","N,c,o,x",1
103v.13.1,"P2,o,x,c^c,o,Z","N,c,c,o,x,c^c,c,9","o,N,c,9",1
106v.7.1,"P2,o,x,cc,2","x,N,a,n,Z","c^c,o,N,a,Z",1
112r.4.1,"P2,o,x,cc,8,9","o,x","o,M,a,x",1
103v.7.1,"P2,o,x,cc,a,Z","o,M,a,Z","o,N,a,n",1
108r.5.1,"P2,o,x,cc,a,x","c^c,o,x","4,o,N,a,Z",1
111v.5.1,"P2,o,x,cc,c,9","x,N,a,Z,c^c,a,Z","o,N,a,n",1
104v.4.1,"P2,o,x,cc,c,cc,9","o,M,c,o,9","cc,o,M,cc,2",1
107v.3.1,"P2,o,x,cc,c,o,x,N,a,n","4,o,N,a,i,Z","o,N,c,o,x",1
113r.5.1,"P2,o,x,cc,o,Z","cc,c,o,8,9","4,o,M,c,8,9",1
107r.4.1,"P2,o,x,cc,x,2","a,m","c^c,c,N,9",1
111v.6.1,"P2,o,x,x,a,m","o,N,a,n","c^c,c,a,x",1
105r.1.1,"P2?,a,m,8,a,Z","cc,c,P2,c,9","4,o,N,c,c,9",1
108r.14.1,"c^c,c,c,8,a,n","4,o,N,c,c,8,9","cc,o,N,c,c,8,9",1
108v.14.1,"c^c,c,o,x","c^c,c,8,9","4,o,N,c,c,9",1
116r.4.1,"cc,8,?,n?","cc,c,c,N,c,9","8,o,Z",1
116r.8.1,"o,4,o,N,a,n","a,x","c^c,c,9",1
111r.6.1,"o,M,c,2","x,cc,c,9","x,c^c,c,8,9",1
103r.4.1,"o,M,c,c,o,2","a,Z","cc,c,a,x",1
104r.9.1,"o,N,c,c,o",x,"N,c,c,o",1
113v.11.1,"o,P1,a,Z,a,x","o,x,N,a,m","o,N,a,Z",1
103v.14.1,"o,Z,a,n","cc,c,N,c,c,9","4,o,N,a,m",1
104r.5.1,"o,cc,c,o,c,M,c,c,9","4,o,c,M,c,c,o,8,9","9,N,c,c,o,8,c,9",1
103v.12.1,"o,x,c^c,c,9","4,o,N,a,n","o,x",1
105r.5.1,"x,M,c,c,8,9","o,N,c,c,8,8,x","c^c,c,o,N,c,8,9",1
